A,70280,152528,232204,315728,429768,525760,598256,712608,880640,999616,1017716,1206928,1396888,1357568,1571480,1688480,1725272,1730312,1926220,2276240
B,55586,134431,216700,327114,415056,537254,649345,770670,859036,988552,995798,1038110,1313921,1478196,1259760,1640841,1578416,1906735,1981582,1928692
C,571038,2301040,5734224,10083330,14885271,20594220,29578785,41924130,46119300,66794739,81462876,88605501,111232671,118016043,146323986,151393920,167793840,223398621,228108480,274403330
D,376900,1433500,3274750,6384700,10105450,13118800,17860150,25568700,29128300,41459200,49565600,53236300,61638250,81282600,83195200,101057500,106867800,131147800,142520650,157921700
E,154700,333220,561728,781000,1108800,1199436,1750000,1794205,2034395,2541186,2674405,2582386,3491812,3176328,3618020,3669623,4421806,5023172,5192100,4685656
F,88885,291111,796206,1404010,1980890,2657580,3846749,5589832,6204051,8126844,10067122,12094767,14677760,15740972,17465142,21280383,24096075,28813630,29636412,30643366
